sample	caller
BS_16JT2DCA	cnvkit
BS_16JT2DCA	freec
BS_16JT2DCA	manta
BS_3HXCGJ4J	cnvkit
BS_3HXCGJ4J	freec
BS_3HXCGJ4J	manta
BS_3J4X955P	cnvkit
BS_3J4X955P	freec
BS_3J4X955P	manta
BS_3S64YXFJ	manta
BS_46TXYD8H	manta
BS_4MGT61BX	manta
BS_4QH8B0VS	manta
BS_6YSRX0EW	cnvkit
BS_6YSRX0EW	manta
BS_70E0T7EE	cnvkit
BS_70E0T7EE	freec
BS_70E0T7EE	manta
BS_7JVKJPB7	cnvkit
BS_7JVKJPB7	freec
BS_7JVKJPB7	manta
BS_7P378T0E	cnvkit
BS_7P378T0E	manta
BS_7ZM4PG53	manta
BS_81SVXT4D	manta
BS_82KENKT0	freec
BS_82KENKT0	manta
BS_85J1DDJS	cnvkit
BS_85J1DDJS	manta
BS_A0NBZQPH	cnvkit
BS_A0NBZQPH	freec
BS_A0NBZQPH	manta
BS_AB4QGN7R	manta
BS_ASGBEHAX	cnvkit
BS_ASGBEHAX	freec
BS_ASGBEHAX	manta
BS_CKX0QTD6	freec
BS_CKX0QTD6	manta
BS_CW9FZE4H	cnvkit
BS_CW9FZE4H	freec
BS_CW9FZE4H	manta
BS_D7PRJEMD	cnvkit
BS_D7PRJEMD	freec
BS_D7PRJEMD	manta
BS_DFTX5Q9V	manta
BS_E3B3926M	manta
BS_E4N5C9JF	manta
BS_F7SMM59X	cnvkit
BS_F7SMM59X	freec
BS_F7SMM59X	manta
BS_GCG2PKQA	manta
BS_GMVP7K9F	manta
BS_HBSA5CW2	freec
BS_HBSA5CW2	manta
BS_JZ40GV74	manta
BS_KYVZWYMS	manta
BS_MB5K2C19	manta
BS_N88EQK8Z	manta
BS_QJ58E1KY	manta
BS_RM13B4YN	manta
BS_SGHC3FB0	cnvkit
BS_SGHC3FB0	freec
BS_SGHC3FB0	manta
BS_SMHNXC5G	cnvkit
BS_SMHNXC5G	manta
BS_V3X7YF5J	cnvkit
BS_V3X7YF5J	freec
BS_V3X7YF5J	manta
BS_VQEKRQ7C	manta
BS_WWV74V71	cnvkit
BS_WWV74V71	freec
BS_WWV74V71	manta
BS_XMDPQQ4M	manta
BS_Y4CC9PKT	manta
BS_Y5687G7D	cnvkit
BS_Y5687G7D	freec
BS_Y5687G7D	manta
BS_ZMM11DCC	cnvkit
BS_ZMM11DCC	freec
BS_ZMM11DCC	manta
BS_ZN35MFSR	freec
BS_ZN35MFSR	manta
