OPC_COUNTS	OPC_TPM	TCGA_TPM
SNORA16A	SNORA16A	NA
TBCE	TBCE	NA
ANAPC1P2	ANAPC1P2	NA
PDE11A	PDE11A	NA
PRICKLE2-AS1	PRICKLE2-AS1	NA
CCDC39	CCDC39	NA
MATR3	MATR3	NA
POLR2J4	POLR2J4	NA
SPDYE11	SPDYE11	NA
POLR2J3	POLR2J3	NA
KBTBD11-OT1	KBTBD11-OT1	NA
PINX1	PINX1	NA
RMRP	RMRP	NA
ZNF883	ZNF883	NA
BMS1P4	BMS1P4	NA
ITFG2-AS1	ITFG2-AS1	NA
SFTA3	SFTA3	NA
GABARAPL3	GABARAPL3	NA
SNORA50A	SNORA50A	NA
SLFN12L	SLFN12L	NA
SIGLEC5	SIGLEC5	NA
MKKS	MKKS	NA
ACTL10	ACTL10	NA
DUXAP8	DUXAP8	NA
ARMCX5-GPRASP2	ARMCX5-GPRASP2	NA
U6	U6	NA
